inicio,varinicio,varfim,escreva,leia,se,entao,fimse,fim,inteiro,literal,real,NUM,LIT,ID,$,OPR,ATR,OPA,AB_P,FC_P,PT_V,VIR
,,,,,,,,,,,,,,,,,,,,S-57,,
,,,,,,,,,,,,,,,,S-56,,,,,,
,,,,,,,,,,,,,,S-37,,,,,,,,
,,R-D-TIPO L PT_V,,,,,,,R-D-TIPO L PT_V,R-D-TIPO L PT_V,R-D-TIPO L PT_V,,,,,,,,,,,
,,,R-CMD-ID ATR LD PT_V,R-CMD-ID ATR LD PT_V,R-CMD-ID ATR LD PT_V,,R-CMD-ID ATR LD PT_V,R-CMD-ID ATR LD PT_V,,,,,,R-CMD-ID ATR LD PT_V,,,,,,,,
,,,,,,,,,,,,S-46,,S-45,,,,,,,,
,,,,,,,,,,,,S-46,,S-45,,,,,,,,
,,,,,,S-60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,R-LD-OPRD OPA OPRD,
,,,,,,,,,,,,,,,,,,,,R-EXP_R-OPRD OPR OPRD,,
,,,R-CAB-se AB_P EXP_R FC_P entao,R-CAB-se AB_P EXP_R FC_P entao,R-CAB-se AB_P EXP_R FC_P entao,,R-CAB-se AB_P EXP_R FC_P entao,,,,,,,R-CAB-se AB_P EXP_R FC_P entao,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,R-L-ID VIR L,
