inicio,varinicio,varfim,escreva,leia,se,entao,fimse,fim,inteiro,literal,real,NUM,LIT,ID,$,OPR,ATR,OPA,AB_P,FC_P,PT_V,VIR
E-32,E-32,E-32,S-11,S-10,S-14,E-32,S-35,E-32,E-32,E-32,E-32,E-32,E-32,S-12,E-32,E-32,E-32,E-32,E-32,E-32,E-32,E-32
E-33,E-33,E-33,S-11,S-10,S-14,E-33,S-35,E-33,E-33,E-33,E-33,E-33,E-33,S-12,E-33,E-33,E-33,E-33,E-33,E-33,E-33,E-33
E-34,E-34,E-34,S-11,S-10,S-14,E-34,S-35,E-34,E-34,E-34,E-34,E-34,E-34,S-12,E-34,E-34,E-34,E-34,E-34,E-34,E-34,E-34
E-35,E-35,E-35,R-CP-fimse,R-CP-fimse,R-CP-fimse,E-35,R-CP-fimse,R-CP-fimse,E-35,E-35,E-35,E-35,E-35,R-CP-fimse,E-35,E-35,E-35,E-35,E-35,E-35,E-35,E-35
E-36,E-36,E-36,E-36,E-36,E-36,E-36,E-36,E-36,E-36,E-36,E-36,S-46,E-36,S-45,E-36,E-36,E-36,E-36,E-36,E-36,E-36,E-36
E-37,E-37,E-37,E-37,E-37,E-37,E-37,E-37,E-37,E-37,E-37,E-37,E-37,E-37,E-37,E-37,E-37,E-37,E-37,E-37,E-37,R-L-ID,S-52
E-38,E-38,E-38,E-38,E-38,E-38,E-38,E-38,E-38,E-38,E-38,E-38,E-38,E-38,E-38,E-38,E-38,E-38,E-38,E-38,E-38,S-53,E-38
E-39,E-39,E-39,R-LV-varfim PT_V,R-LV-varfim PT_V,R-LV-varfim PT_V,E-39,E-39,R-LV-varfim PT_V,E-39,E-39,E-39,E-39,E-39,R-LV-varfim PT_V,E-39,E-39,E-39,E-39,E-39,E-39,E-39,E-39
E-40,E-40,E-40,R-LV-D LV,R-LV-D LV,R-LV-D LV,E-40,E-40,R-LV-D LV,E-40,E-40,E-40,E-40,E-40,R-LV-D LV,E-40,E-40,E-40,E-40,E-40,E-40,E-40,E-40
E-41,E-41,E-41,R-ES-leia ID PT_V,R-ES-leia ID PT_V,R-ES-leia ID PT_V,E-41,R-ES-leia ID PT_V,R-ES-leia ID PT_V,E-41,E-41,E-41,E-41,E-41,R-ES-leia ID PT_V,E-41,E-41,E-41,E-41,E-41,E-41,E-41,E-41
E-42,E-42,E-42,R-ES-escreva ARG PT_V,R-ES-escreva ARG PT_V,R-ES-escreva ARG PT_V,E-42,R-ES-escreva ARG PT_V,R-ES-escreva ARG PT_V,E-42,E-42,E-42,E-42,E-42,R-ES-escreva ARG PT_V,E-42,E-42,E-42,E-42,E-42,E-42,E-42,E-42
E-43,E-43,E-43,E-43,E-43,E-43,E-43,E-43,E-43,E-43,E-43,E-43,E-43,E-43,E-43,E-43,E-43,E-43,E-43,E-43,E-43,S-54,E-43
E-44,E-44,E-44,E-44,E-44,E-44,E-44,E-44,E-44,E-44,E-44,E-44,E-44,E-44,E-44,E-44,E-44,E-44,S-55,E-44,E-44,R-LD-OPRD,E-44
E-45,E-45,E-45,E-45,E-45,E-45,E-45,E-45,E-45,E-45,E-45,E-45,E-45,E-45,E-45,E-45,R-OPRD-ID,E-45,R-OPRD-ID,E-45,R-OPRD-ID,R-OPRD-ID,E-45
E-46,E-46,E-46,E-46,E-46,E-46,E-46,E-46,E-46,E-46,E-46,E-46,E-46,E-46,E-46,E-46,R-OPRD-NUM,E-46,R-OPRD-NUM,E-46,R-OPRD-NUM,R-OPRD-NUM,E-46
E-47,E-47,E-47,R-CP-ES CP,R-CP-ES CP,R-CP-ES CP,E-47,R-CP-ES CP,R-CP-ES CP,E-47,E-47,E-47,E-47,E-47,R-CP-ES CP,E-47,E-47,E-47,E-47,E-47,E-47,E-47,E-47
E-48,E-48,E-48,R-CP-CMD CP,R-CP-CMD CP,R-CP-CMD CP,E-48,R-CP-CMD CP,R-CP-CMD CP,E-48,E-48,E-48,E-48,E-48,R-CP-CMD CP,E-48,E-48,E-48,E-48,E-48,E-48,E-48,E-48
E-49,E-49,E-49,R-CP-COND CP,R-CP-COND CP,R-CP-COND CP,E-49,R-CP-COND CP,R-CP-COND CP,E-49,E-49,E-49,E-49,E-49,R-CP-COND CP,E-49,E-49,E-49,E-49,E-49,E-49,E-49,E-49
E-50,E-50,E-50,E-50,E-50,E-50,E-50,E-50,E-50,E-50,E-50,E-50,E-50,E-50,E-50,E-50,E-50,E-50,E-50,E-50,S-57,E-50,E-50
E-51,E-51,E-51,E-51,E-51,E-51,E-51,E-51,E-51,E-51,E-51,E-51,E-51,E-51,E-51,E-51,S-56,E-51,E-51,E-51,E-51,E-51,E-51
E-52,E-52,E-52,E-52,E-52,E-52,E-52,E-52,E-52,E-52,E-52,E-52,E-52,E-52,S-37,E-52,E-52,E-52,E-52,E-52,E-52,E-52,E-52
E-53,E-53,R-D-TIPO L PT_V,E-53,E-53,E-53,E-53,E-53,E-53,R-D-TIPO L PT_V,R-D-TIPO L PT_V,R-D-TIPO L PT_V,E-53,E-53,E-53,E-53,E-53,E-53,E-53,E-53,E-53,E-53,E-53
E-54,E-54,E-54,R-CMD-ID ATR LD PT_V,R-CMD-ID ATR LD PT_V,R-CMD-ID ATR LD PT_V,E-54,R-CMD-ID ATR LD PT_V,R-CMD-ID ATR LD PT_V,E-54,E-54,E-54,E-54,E-54,R-CMD-ID ATR LD PT_V,E-54,E-54,E-54,E-54,E-54,E-54,E-54,E-54
E-55,E-55,E-55,E-55,E-55,E-55,E-55,E-55,E-55,E-55,E-55,E-55,S-46,E-55,S-45,E-55,E-55,E-55,E-55,E-55,E-55,E-55,E-55
E-56,E-56,E-56,E-56,E-56,E-56,E-56,E-56,E-56,E-56,E-56,E-56,S-46,E-56,S-45,E-56,E-56,E-56,E-56,E-56,E-56,E-56,E-56
E-57,E-57,E-57,E-57,E-57,E-57,S-60,E-57,E-57,E-57,E-57,E-57,E-57,E-57,E-57,E-57,E-57,E-57,E-57,E-57,E-57,E-57,E-57
E-58,E-58,E-58,E-58,E-58,E-58,E-58,E-58,E-58,E-58,E-58,E-58,E-58,E-58,E-58,E-58,E-58,E-58,E-58,E-58,E-58,R-LD-OPRD OPA OPRD,E-58
E-59,E-59,E-59,E-59,E-59,E-59,E-59,E-59,E-59,E-59,E-59,E-59,E-59,E-59,E-59,E-59,E-59,E-59,E-59,E-59,R-EXP_R-OPRD OPR OPRD,E-59,E-59
E-60,E-60,E-60,R-CAB-se AB_P EXP_R FC_P entao,R-CAB-se AB_P EXP_R FC_P entao,R-CAB-se AB_P EXP_R FC_P entao,E-60,R-CAB-se AB_P EXP_R FC_P entao,E-60,E-60,E-60,E-60,E-60,E-60,R-CAB-se AB_P EXP_R FC_P entao,E-60,E-60,E-60,E-60,E-60,E-60,E-60,E-60
E-61,E-61,E-61,E-61,E-61,E-61,E-61,E-61,E-61,E-61,E-61,E-61,E-61,E-61,E-61,E-61,E-61,E-61,E-61,E-61,E-61,R-L-ID VIR L,E-61
